id,SystemMoon,system,constellation,region,Ore1,p1,harvest1_rarity,H1Worth,Ore2,p2,harvest2_rarity,H2Worth,Ore3,p3,harvest3_rarity,H3Worth,Ore4,p4,harvest4_rarity,H4Worth, MoonWorth, Rent,Towered,Available,Owner,Ticker,Paid
40182236,GQ-7SP IX - Moon 1,GQ-7SP,P-B2NE,The Kalevala Expanse,Chromite,0.64,uncommon,11384716493,Coesite,0.25,ubiquitous,3215365171,Euxenite,0.11,common,707538585.6,,,,,4100255424,460000000,Yes,Yes,,,
40181517,LEM-I1 VII - Moon 8,LEM-I1,8UD2-J,The Kalevala Expanse,Chromite,0.64,uncommon,11384716493,Coesite,0.25,ubiquitous,3215365171,Euxenite,0.10,common,643216896,,,,,4083026400,460000000,Yes,Yes,,,
40179133,1-KCSA VIII - Moon 15,1-KCSA,6-CBBM,The Kalevala Expanse,Chromite,0.61,uncommon,10851057907,Euxenite,0.11,common,707538585.6,Sylvite,0.28,ubiquitous,2617835609,,,,,3797258599,440000000,Yes,No,Mike Jag (IO.),IO.,01-Aug
40183203,J-OAH2 III - Moon 1,J-OAH2,2Q-8WA,The Kalevala Expanse,Bitumens,0.26,ubiquitous,3081819407,Chromite,0.34,uncommon,6048130637,Euxenite,0.11,common,707538585.6,Sperrylite,0.29,uncommon,6539104858,4386587541,510000000,Yes,No,Mike Jag (IO.),IO.,01-Aug
40180513,0S1-GI VIII - Moon 1,0S1-GI,S4S-SD,The Kalevala Expanse,Bitumens,0.31,ubiquitous,3674476985,Chromite,0.58,uncommon,10317399322,Euxenite,0.12,common,771860275.2,,,,,3954572299,410000000,Yes,No,Nebe Thetepet (TRYHD),C CDC,01-Aug
40183039,O5-YNW VI - Moon 23,O5-YNW,2Q-8WA,The Kalevala Expanse,Bitumens,0.21,ubiquitous,2489161829,Chromite,0.44,uncommon,7826992589,Otavite,0.17,uncommon,3436809869,Sylvite,0.18,ubiquitous,1682894320,4134604984,450000000,Yes,No,Mike Jag (IO.),IO.,01-Aug
40179279,UDVW-O V - Moon 16,UDVW-O,6-CBBM,The Kalevala Expanse,Bitumens,0.35,ubiquitous,4148603048,Chromite,0.20,uncommon,3557723904,Otavite,0.45,uncommon,9097437888,,,,,4501008439,510000000,Yes,No,Peter the Quil (PSST),ISSI1,01-Aug
40181587,ND-GL4 V - Moon 1,ND-GL4,8UD2-J,The Kalevala Expanse,Chromite,0.38,uncommon,6759675418,Otavite,0.20,uncommon,4043305728,Sylvite,0.22,ubiquitous,2056870836,Zeolites,0.20,ubiquitous,1792632146,3924772534,430000000,Yes,No,,,
40179875,A-YB15 X - Moon 8,A-YB15,2O-VY7,The Kalevala Expanse,Bitumens,0.28,ubiquitous,3318882438,Chromite,0.27,uncommon,4802927270,Euxenite,0.12,common,771860275.2,Sperrylite,0.33,uncommon,7441050355,4375371519,490000000,Yes,No,,,
40179905,QZX-L9 VI - Moon 2,QZX-L9,2O-VY7,The Kalevala Expanse,Chromite,0.29,uncommon,5158699661,Euxenite,0.08,common,514573516.8,Sperrylite,0.30,uncommon,6764591232,Sylvite,0.33,ubiquitous,3085306254,4157992142,480000000,Yes,No,Peter the Quil (PSST),ISSI1,01-Aug
40180715,O31W-6 IX - Moon 2,O31W-6,S4S-SD,The Kalevala Expanse,Chromite,0.35,uncommon,6226016832,Coesite,0.17,ubiquitous,2186448316,Sperrylite,0.23,uncommon,5186186611,Sylvite,0.25,ubiquitous,2337353222,4268572763,460000000,Yes,No,Flash Meat (C1AC4),C1AC4,01-Aug
40180068,RAI-0E IX - Moon 2,RAI-0E,3NA-Z1,The Kalevala Expanse,Bitumens,0.18,ubiquitous,2133567282,Chromite,0.19,uncommon,3379837709,Otavite,0.43,uncommon,8693107315,Sylvite,0.19,ubiquitous,1776388449,4281134131,490000000,Yes,No,Emma Mdma (BLSFC),DIMLA,01-Aug
40179515,LS3-HP VIII - Moon 6,LS3-HP,78-6RI,The Kalevala Expanse,Chromite,0.30,uncommon,5336585856,Coesite,0.31,ubiquitous,3987052812,Euxenite,0.10,common,643216896,Sperrylite,0.29,uncommon,6539104858,4421239399,480000000,Yes,No,Dark Genie(SQUI.),SQUI.,01-Aug
40180321,BM-VYZ V - Moon 9,BM-VYZ,3NA-Z1,The Kalevala Expanse,Euxenite,0.11,common,707538585.6,Otavite,0.30,uncommon,6064958592,Sperrylite,0.34,uncommon,7666536730,Zeolites,0.24,ubiquitous,2151158575,4443801558,550000000,Yes,No,Nebe Thetepet (TRYHD),C CDC,01-Aug
40182544,O9K-FT VII - Moon 13,O9K-FT,P-B2NE,The Kalevala Expanse,Chromite,0.25,uncommon,4447154880,Coesite,0.28,ubiquitous,3601208992,Euxenite,0.11,common,707538585.6,Otavite,0.36,uncommon,7277950310,4294781991,470000000,Yes,No,Muraku Butler(ONCBN),ONCBN,01-Aug
40182765,BZ-BCK V - Moon 3,BZ-BCK,2Q-8WA,The Kalevala Expanse,Bitumens,0.34,ubiquitous,4030071532,Chromite,0.26,uncommon,4625041075,Euxenite,0.11,common,707538585.6,Otavite,0.30,uncommon,6064958592,4132395478,430000000,Yes,No,Strunzi (KTRO),KTRO,01-Aug
40182355,I2D3-5 IV - Moon 8,I2D3-5,P-B2NE,The Kalevala Expanse,Euxenite,0.10,common,643216896,Otavite,0.30,uncommon,6064958592,Sperrylite,0.31,uncommon,6990077606,Sylvite,0.29,ubiquitous,2711329738,4395423973,520000000,Yes,No,Muraku Butler(ONCBN),ONCBN,01-Aug
40180675,B1UE-J IX - Moon 12,B1UE-J,S4S-SD,The Kalevala Expanse,Euxenite,0.08,common,514573516.8,Otavite,0.63,uncommon,12736413043,Sylvite,0.29,ubiquitous,2711329738,,,,,4275620437,510000000,Yes,No,Dark Genie(SQUI.),SQUI.,01-Aug
40182290,GQ-7SP XIII - Moon 2,GQ-7SP,P-B2NE,The Kalevala Expanse,Bitumens,0.18,ubiquitous,2133567282,Chromite,0.46,uncommon,8182764979,Zeolites,0.36,ubiquitous,3226737863,,,,,3627608069,330000000,Yes,Yes,,,
40181498,LEM-I1 VI - Moon 14,LEM-I1,8UD2-J,The Kalevala Expanse,Euxenite,0.11,common,707538585.6,Sperrylite,0.55,uncommon,12401750592,Sylvite,0.34,ubiquitous,3178800382,,,,,4362881132,500000000,Yes,No,Lothias Telvunar (BLSFC),DEIMI,01-Aug
40180019,RAI-0E II - Moon 1,RAI-0E,3NA-Z1,The Kalevala Expanse,Coesite,0.34,ubiquitous,4372896633,Euxenite,0.10,common,643216896,Otavite,0.28,uncommon,5660628019,Sperrylite,0.29,uncommon,6539104858,4611387430,490000000,Yes,No,Emma Mdma (BLSFC),DIMLA,01-Aug
40179041,XTJ-5Q VII - Moon 5,XTJ-5Q,6-CBBM,The Kalevala Expanse,Euxenite,0.13,common,836181964.8,Otavite,0.28,uncommon,5660628019,Sperrylite,0.27,uncommon,6088132109,Sylvite,0.33,ubiquitous,3085306254,4197387950,470000000,Yes,No,,,
40181501,LEM-I1 VI - Moon 17,LEM-I1,8UD2-J,The Kalevala Expanse,Bitumens,0.24,ubiquitous,2844756376,Coesite,0.20,ubiquitous,2572292137,Otavite,0.39,uncommon,7884446170,Sperrylite,0.17,uncommon,3833268365,4589668673,470000000,Yes,Yes,,,
40180919,6FS-CZ VIII - Moon 1,6FS-CZ,U-HSM3,The Kalevala Expanse,Bitumens,0.19,ubiquitous,2252098797,Chromite,0.43,uncommon,7649106394,Sylvite,0.21,ubiquitous,1963376707,Zeolites,0.17,ubiquitous,1523737324,3586156934,310000000,Yes,No,,,
40180878,6FS-CZ IV - Moon 12,6FS-CZ,U-HSM3,The Kalevala Expanse,Bitumens,0.18,ubiquitous,2133567282,Chromite,0.43,uncommon,7649106394,Coesite,0.40,ubiquitous,5144584274,,,,,3998372665,310000000,Yes,No,Marhiquen'x (IDSKQ),IDSKQ,01-Aug
40181807,PNFW-O V - Moon 1,PNFW-O,XPG-HE,The Kalevala Expanse,Chromite,0.33,uncommon,5870244442,Euxenite,0.08,common,514573516.8,Vanadinite,0.28,uncommon,4032961229,Zeolites,0.31,ubiquitous,2778579826,3534739021,400000000,Yes,No,,,
40180817,G-KCFT VI - Moon 7,G-KCFT,U-HSM3,The Kalevala Expanse,Sperrylite,0.44,uncommon,9921400474,Sylvite,0.21,ubiquitous,1963376707,Zeolites,0.36,ubiquitous,3226737863,,,,,4047727244,400000000,Yes,No,Undiestain (XDAFE),ZDMC,01-Aug
40183013,O5-YNW V - Moon 20,O5-YNW,2Q-8WA,The Kalevala Expanse,Bitumens,0.22,ubiquitous,2607693344,Chromite,0.38,uncommon,6759675418,Zeolites,0.40,ubiquitous,3585264292,,,,,3469455282,270000000,Yes,No,Broseph Ballin (1KH0R),1KH0R,01-Aug
40180572,74-DRC VIII - Moon 2,74-DRC,S4S-SD,The Kalevala Expanse,Chromite,0.41,uncommon,7293334003,Coesite,0.41,ubiquitous,5273198881,Zeolites,0.18,ubiquitous,1613368931,,,,,3798187986,290000000,Yes,No,Gonnaeatit (3.14-),0MD,01-Aug
40181462,LEM-I1 III - Moon 4,LEM-I1,8UD2-J,The Kalevala Expanse,Otavite,0.42,uncommon,8490942029,Sylvite,0.33,ubiquitous,3085306254,Vanadinite,0.24,uncommon,3456823910,,,,,4026715766,480000000,Yes,Yes,,,
